round,comp_time,comm_time,overhead,mse,f1,mode,clients
11,0.8204543590545654,2.0003931522369385,0.04000000000000001,42.86607966703527,0.7099712704085208,BlockFL,10
12,0.8155877590179443,2.000382900238037,0.04000000000000001,99.45888227574966,0.5518967540086038,BlockFL,10
13,0.8106873035430908,2.0000455379486084,0.04000000000000001,143.10146466423484,0.7144153577661431,BlockFL,10
14,0.8443851470947266,2.000079870223999,0.04000000000000001,220.02933547076057,0.7422877422877423,BlockFL,10
15,0.8249690532684326,2.000077962875366,0.04000000000000001,300.6273552389706,0.8186535135481391,BlockFL,10
16,0.8427095413208008,2.0000743865966797,0.04000000000000001,292.41390362907856,0.7289293849658315,BlockFL,10
17,0.8277361392974854,2.000072717666626,0.04000000000000001,430.56717277975645,0.5509019607843137,BlockFL,10
18,0.8443634510040283,2.0004119873046875,0.04000000000000001,485.1701983283548,0.6032895729591067,BlockFL,10
19,0.8176853656768799,2.000088930130005,0.04000000000000001,607.9020313936121,0.6807203087037301,BlockFL,10
20,0.8569612503051758,2.00007700920105,0.04000000000000001,763.0571953268612,0.6526731514663936,BlockFL,10
21,0.8288669586181641,2.000077724456787,0.04000000000000001,672.8214219037225,0.6553713576279852,BlockFL,10
22,0.8241112232208252,2.00018048286438,0.04000000000000001,750.3519197351792,0.6407738314996677,BlockFL,10
23,0.8266282081604004,2.000077962875366,0.04000000000000001,1395.1321949678309,0.5486001887385971,BlockFL,10
24,0.8121740818023682,2.0000827312469482,0.04000000000000001,1282.9551391601562,0.5652646282787521,BlockFL,10
25,0.8161702156066895,2.0000789165496826,0.04000000000000001,1833.9259248621324,0.5190127823780046,BlockFL,10
26,0.8170738220214844,2.0000765323638916,0.04000000000000001,2128.7979520909926,0.6193509705463539,BlockFL,10
27,0.8358864784240723,2.0000834465026855,0.04000000000000001,2470.876780790441,0.6214900786222388,BlockFL,10
28,0.8225257396697998,2.0000839233398438,0.04000000000000001,2162.559290268842,0.5431805588537956,BlockFL,10
29,0.8261823654174805,2.0000786781311035,0.04000000000000001,2697.7205595128676,0.5685224008075161,BlockFL,10
30,0.8216500282287598,2.000079870223999,0.04000000000000001,3276.659251493566,0.6526775956284153,BlockFL,10
31,0.8441863059997559,2.0001845359802246,0.04000000000000001,4562.982105928309,0.656727220091192,BlockFL,10
32,0.8299553394317627,2.0000767707824707,0.04000000000000001,4069.5628087660843,0.6553745928338762,BlockFL,10
